* c0 0.0
* kappa 15.0
* Ka 4e2
* A0 0.0021911563
* PC 4
* _PC 4
274 An1 1.72135
274 An2 2.2541
275 An0 2.55605
275 An1 1.62814
275 An2 2.099
276 An0 2.0952
276 An1 2.09399
276 An2 2.09399
277 An0 2.09867
277 An1 2.09444
277 An2 2.09007
278 An0 2.09869
278 An1 2.09007
278 An2 2.09442
279 An0 2.10382
279 An1 2.09464
279 An2 2.08473
280 An0 2.10851
280 An1 2.09159
280 An2 2.08309
281 An0 2.12633
281 An1 2.07869
281 An2 2.07816
282 An0 2.10382
282 An1 2.08472
282 An2 2.09464
283 An0 2.12629
283 An1 2.07817
283 An2 2.07872
284 An0 2.10855
284 An1 2.08306
284 An2 2.09157
285 An0 2.10919
285 An1 2.08074
285 An2 2.09326
286 An0 2.06401
286 An1 2.12132
286 An2 2.09785
287 An0 2.03358
287 An1 2.09273
287 An2 2.15687
288 An0 1.93667
288 An1 2.24689
288 An2 2.09962
289 An0 1.62814
289 An1 2.55605
289 An2 2.099
290 An0 1.72134
290 An1 2.30774
290 An2 2.2541
291 An0 1.95109
291 An1 2.08439
291 An2 2.24771
292 An0 1.81601
292 An1 2.14867
292 An2 2.31851
293 An0 1.91541
293 An1 2.02375
293 An2 2.34402
294 An0 2.09112
294 An1 2.08764
294 An2 2.10443
295 An0 2.10617
295 An1 2.00586
295 An2 2.17116
296 An0 2.14116
296 An1 2.03456
296 An2 2.10747
297 An0 2.08437
297 An1 1.95111
297 An2 2.2477
298 An0 2.02375
298 An1 1.91541
298 An2 2.34403
299 An0 2.14866
299 An1 1.816
299 An2 2.31852
300 An0 2.24192
300 An1 1.93636
300 An2 2.10491
301 An0 2.30776
301 An1 1.72133
301 An2 2.2541
302 An0 2.55606
302 An1 1.62815
302 An2 2.09898
303 An0 2.0952
303 An1 2.09399
303 An2 2.09399
304 An0 2.09869
304 An1 2.09442
304 An2 2.09007
305 An0 2.09867
305 An1 2.09007
305 An2 2.09444
306 An0 2.10382
306 An1 2.09464
306 An2 2.08472
307 An0 2.10855
307 An1 2.09157
307 An2 2.08306
308 An0 2.12629
308 An1 2.07872
308 An2 2.07817
309 An0 2.10382
309 An1 2.08473
309 An2 2.09464
310 An0 2.12633
310 An1 2.07816
310 An2 2.07869
311 An0 2.10851
311 An1 2.08309
311 An2 2.09159
312 An0 2.08764
312 An1 2.09112
312 An2 2.10443
313 An0 2.03456
313 An1 2.14116
313 An2 2.10747
314 An0 2.00586
314 An1 2.10617
314 An2 2.17116
315 An0 1.93636
315 An1 2.24192
315 An2 2.10491
316 An0 1.62815
316 An1 2.55606
316 An2 2.09898
317 An0 1.72133
317 An1 2.30776
317 An2 2.2541
318 An0 1.95111
318 An1 2.08437
318 An2 2.2477
319 An0 1.816
319 An1 2.14866
319 An2 2.31852
320 An0 1.91541
320 An1 2.02375
320 An2 2.34403
321 An0 2.10919
321 An1 2.09326
321 An2 2.08074
322 An0 2.09273
322 An1 2.03358
322 An2 2.15687
323 An0 2.12132
323 An1 2.06401
323 An2 2.09785
324 An0 2.08838
324 An1 1.94373
324 An2 2.25108
325 An0 2.02669
325 An1 1.91777
325 An2 2.33873
326 An0 2.14867
326 An1 1.81601
326 An2 2.31851
327 An0 2.24689
327 An1 1.93667
327 An2 2.09962
328 An0 2.30774
328 An1 1.72134
328 An2 2.2541
329 An0 2.55605
329 An1 1.62814
329 An2 2.099
330 An0 2.09517
330 An1 2.09401
330 An2 2.09401
331 An0 2.09867
331 An1 2.09444
331 An2 2.09008
332 An0 2.09867
332 An1 2.09008
332 An2 2.09444
333 An0 2.10383
333 An1 2.09464
333 An2 2.08472
334 An0 2.10854
334 An1 2.09158
334 An2 2.08307
335 An0 2.12632
335 An1 2.07872
335 An2 2.07815
336 An0 2.10383
336 An1 2.08472
336 An2 2.09464
337 An0 2.12632
337 An1 2.07815
337 An2 2.07872
338 An0 2.10854
338 An1 2.08307
338 An2 2.09158
339 An0 2.10918
339 An1 2.08075
339 An2 2.09325
340 An0 2.06401
340 An1 2.12132
340 An2 2.09785
341 An0 2.03357
341 An1 2.09276
341 An2 2.15686
342 An0 1.93667
342 An1 2.2469
342 An2 2.09962
343 An0 1.62814
343 An1 2.55605
343 An2 2.099
344 An0 1.72135
344 An1 2.30774
344 An2 2.2541
345 An0 1.95111
345 An1 2.08436
345 An2 2.24772
346 An0 1.81603
346 An1 2.14865
346 An2 2.3185
347 An0 1.9154
347 An1 2.02376
347 An2 2.34402
348 An0 2.10918
348 An1 2.09325
348 An2 2.08075
349 An0 2.09276
349 An1 2.03357
349 An2 2.15686
350 An0 2.12132
350 An1 2.06401
350 An2 2.09785
351 An0 2.08436
351 An1 1.95111
351 An2 2.24772
352 An0 2.02376
352 An1 1.9154
352 An2 2.34402
353 An0 2.14865
353 An1 1.81603
353 An2 2.3185
354 An0 2.2469
354 An1 1.93667
354 An2 2.09962
355 An0 2.30774
355 An1 1.72135
355 An2 2.2541
356 An0 2.55605
356 An1 1.62814
356 An2 2.099
357 An0 2.0952
357 An1 2.09399
357 An2 2.09399
358 An0 2.09867
358 An1 2.09444
358 An2 2.09007
359 An0 2.09869
359 An1 2.09007
359 An2 2.09442
360 An0 2.10382
360 An1 2.09464
360 An2 2.08473
361 An0 2.10851
361 An1 2.09159
361 An2 2.08309
362 An0 2.12633
362 An1 2.07869
362 An2 2.07816
363 An0 2.10382
363 An1 2.08472
363 An2 2.09464
364 An0 2.12629
364 An1 2.07817
364 An2 2.07872
365 An0 2.10855
365 An1 2.08306
